frame,drift_[px],X1,Y1,X2,Y2,X3,Y3
360.500,0.000000,360.500,0.00000,1.000,0.14119,1.000,-0.34699
1110.500,-0.274254,1110.500,0.72730,20.995,0.13334,20.995,-0.32769
1904.000,-0.487326,1904.000,1.49518,40.990,0.12549,40.990,-0.30839
2728.000,-0.716138,2728.000,2.19228,60.985,0.11763,60.985,-0.28909
3574.500,-0.893653,3574.500,2.74552,80.980,0.10978,80.980,-0.26979
,,,,100.975,0.10193,100.975,-0.25049
,,,,120.970,0.09407,120.970,-0.23119
,,,,140.965,0.08622,140.965,-0.21190
,,,,160.960,0.07837,160.960,-0.19260
,,,,180.955,0.07052,180.955,-0.17330
,,,,200.950,0.06266,200.950,-0.15400
,,,,220.945,0.05481,220.945,-0.13470
,,,,240.940,0.04696,240.940,-0.11540
,,,,260.935,0.03910,260.935,-0.09610
,,,,280.930,0.03125,280.930,-0.07680
,,,,300.925,0.02340,300.925,-0.05750
,,,,320.920,0.01554,320.920,-0.03820
,,,,340.915,0.00769,340.915,-0.01890
,,,,360.910,-0.00016,360.910,0.00040
,,,,380.905,-0.00801,380.905,0.01970
,,,,400.900,-0.01586,400.900,0.03899
,,,,420.895,-0.02371,420.895,0.05830
,,,,440.890,-0.03155,440.890,0.07760
,,,,460.885,-0.03938,460.885,0.09690
,,,,480.880,-0.04719,480.880,0.11621
,,,,500.875,-0.05500,500.875,0.13551
,,,,520.870,-0.06279,520.870,0.15482
,,,,540.865,-0.07056,540.865,0.17414
,,,,560.860,-0.07830,560.860,0.19345
,,,,580.855,-0.08603,580.855,0.21277
,,,,600.850,-0.09373,600.850,0.23210
,,,,620.845,-0.10140,620.845,0.25143
,,,,640.840,-0.10904,640.840,0.27076
,,,,660.835,-0.11665,660.835,0.29010
,,,,680.830,-0.12423,680.830,0.30945
,,,,700.825,-0.13176,700.825,0.32880
,,,,720.820,-0.13926,720.820,0.34816
,,,,740.815,-0.14672,740.815,0.36752
,,,,760.810,-0.15413,760.810,0.38690
,,,,780.805,-0.16150,780.805,0.40628
,,,,800.800,-0.16882,800.800,0.42567
,,,,820.795,-0.17609,820.795,0.44506
,,,,840.790,-0.18330,840.790,0.46447
,,,,860.785,-0.19046,860.785,0.48389
,,,,880.780,-0.19756,880.780,0.50331
,,,,900.775,-0.20460,900.775,0.52275
,,,,920.770,-0.21158,920.770,0.54219
,,,,940.765,-0.21849,940.765,0.56165
,,,,960.760,-0.22534,960.760,0.58112
,,,,980.755,-0.23212,980.755,0.60059
,,,,1000.750,-0.23882,1000.750,0.62009
,,,,1020.745,-0.24546,1020.745,0.63959
,,,,1040.740,-0.25201,1040.740,0.65911
,,,,1060.735,-0.25849,1060.735,0.67864
,,,,1080.730,-0.26489,1080.730,0.69818
,,,,1100.725,-0.27120,1100.725,0.71774
,,,,1120.720,-0.27743,1120.720,0.73731
,,,,1140.715,-0.28357,1140.715,0.75689
,,,,1160.710,-0.28963,1160.710,0.77649
,,,,1180.705,-0.29561,1180.705,0.79609
,,,,1200.700,-0.30152,1200.700,0.81571
,,,,1220.695,-0.30736,1220.695,0.83533
,,,,1240.690,-0.31313,1240.690,0.85495
,,,,1260.685,-0.31883,1260.685,0.87458
,,,,1280.680,-0.32447,1280.680,0.89420
,,,,1300.675,-0.33005,1300.675,0.91382
,,,,1320.670,-0.33558,1320.670,0.93344
,,,,1340.665,-0.34105,1340.665,0.95305
,,,,1360.660,-0.34648,1360.660,0.97266
,,,,1380.655,-0.35186,1380.655,0.99226
,,,,1400.650,-0.35719,1400.650,1.01184
,,,,1420.645,-0.36249,1420.645,1.03141
,,,,1440.640,-0.36775,1440.640,1.05096
,,,,1460.635,-0.37298,1460.635,1.07050
,,,,1480.630,-0.37818,1480.630,1.09002
,,,,1500.625,-0.38335,1500.625,1.10951
,,,,1520.620,-0.38851,1520.620,1.12899
,,,,1540.615,-0.39364,1540.615,1.14843
,,,,1560.610,-0.39875,1560.610,1.16785
,,,,1580.605,-0.40385,1580.605,1.18724
,,,,1600.600,-0.40895,1600.600,1.20660
,,,,1620.595,-0.41403,1620.595,1.22593
,,,,1640.590,-0.41912,1640.590,1.24522
,,,,1660.585,-0.42420,1660.585,1.26448
,,,,1680.580,-0.42929,1680.580,1.28369
,,,,1700.575,-0.43438,1700.575,1.30287
,,,,1720.570,-0.43948,1720.570,1.32200
,,,,1740.565,-0.44460,1740.565,1.34109
,,,,1760.560,-0.44973,1760.560,1.36013
,,,,1780.555,-0.45488,1780.555,1.37912
,,,,1800.550,-0.46006,1800.550,1.39806
,,,,1820.545,-0.46526,1820.545,1.41695
,,,,1840.540,-0.47049,1840.540,1.43578
,,,,1860.535,-0.47575,1860.535,1.45456
,,,,1880.530,-0.48105,1880.530,1.47328
,,,,1900.525,-0.48639,1900.525,1.49194
,,,,1920.520,-0.49177,1920.520,1.51054
,,,,1940.515,-0.49720,1940.515,1.52907
,,,,1960.510,-0.50266,1960.510,1.54754
,,,,1980.505,-0.50816,1980.505,1.56594
,,,,2000.500,-0.51369,2000.500,1.58428
,,,,2020.495,-0.51925,2020.495,1.60254
,,,,2040.490,-0.52484,2040.490,1.62073
,,,,2060.485,-0.53046,2060.485,1.63885
,,,,2080.480,-0.53610,2080.480,1.65690
,,,,2100.475,-0.54176,2100.475,1.67487
,,,,2120.470,-0.54744,2120.470,1.69277
,,,,2140.465,-0.55314,2140.465,1.71058
,,,,2160.460,-0.55885,2160.460,1.72832
,,,,2180.455,-0.56457,2180.455,1.74597
,,,,2200.450,-0.57030,2200.450,1.76354
,,,,2220.445,-0.57604,2220.445,1.78103
,,,,2240.440,-0.58178,2240.440,1.79843
,,,,2260.435,-0.58752,2260.435,1.81575
,,,,2280.430,-0.59326,2280.430,1.83298
,,,,2300.425,-0.59899,2300.425,1.85011
,,,,2320.420,-0.60473,2320.420,1.86716
,,,,2340.415,-0.61045,2340.415,1.88411
,,,,2360.410,-0.61616,2360.410,1.90097
,,,,2380.405,-0.62186,2380.405,1.91773
,,,,2400.400,-0.62754,2400.400,1.93439
,,,,2420.395,-0.63320,2420.395,1.95096
,,,,2440.390,-0.63884,2440.390,1.96742
,,,,2460.385,-0.64446,2460.385,1.98379
,,,,2480.380,-0.65005,2480.380,2.00005
,,,,2500.375,-0.65561,2500.375,2.01620
,,,,2520.370,-0.66114,2520.370,2.03225
,,,,2540.365,-0.66664,2540.365,2.04819
,,,,2560.360,-0.67210,2560.360,2.06403
,,,,2580.355,-0.67753,2580.355,2.07975
,,,,2600.350,-0.68291,2600.350,2.09536
,,,,2620.345,-0.68825,2620.345,2.11086
,,,,2640.340,-0.69354,2640.340,2.12624
,,,,2660.335,-0.69878,2660.335,2.14150
,,,,2680.330,-0.70398,2680.330,2.15665
,,,,2700.325,-0.70912,2700.325,2.17168
,,,,2720.320,-0.71420,2720.320,2.18659
,,,,2740.315,-0.71923,2740.315,2.20137
,,,,2760.310,-0.72419,2760.310,2.21604
,,,,2780.305,-0.72910,2780.305,2.23059
,,,,2800.300,-0.73396,2800.300,2.24502
,,,,2820.295,-0.73875,2820.295,2.25934
,,,,2840.290,-0.74350,2840.290,2.27355
,,,,2860.285,-0.74820,2860.285,2.28765
,,,,2880.280,-0.75284,2880.280,2.30165
,,,,2900.275,-0.75744,2900.275,2.31555
,,,,2920.270,-0.76199,2920.270,2.32935
,,,,2940.265,-0.76649,2940.265,2.34306
,,,,2960.260,-0.77095,2960.260,2.35667
,,,,2980.255,-0.77536,2980.255,2.37020
,,,,3000.250,-0.77973,3000.250,2.38364
,,,,3020.245,-0.78407,3020.245,2.39700
,,,,3040.240,-0.78836,3040.240,2.41027
,,,,3060.235,-0.79262,3060.235,2.42347
