Distance_(m),Gray_Value
0.00000,0.000
0.01858,0.456
0.03716,1.984
0.05574,3.429
0.07432,2.000
0.09290,0.000
0.11148,0.000
0.13006,0.000
0.14864,0.000
0.16722,0.000
0.18580,0.000
0.20438,0.000
0.22296,0.000
0.24154,0.000
0.26012,0.000
0.27870,0.321
0.29728,0.508
0.31586,0.218
0.33444,1.857
0.35302,3.397
0.37160,3.048
0.39018,3.750
0.40876,6.746
0.42734,17.131
0.44592,49.286
0.46450,123.508
0.48308,180.841
0.50166,209.357
0.52024,202.333
0.53882,163.865
0.55740,96.000
0.57598,50.754
0.59456,29.127
0.61314,31.107
0.63172,49.730
0.65030,85.778
0.66888,116.571
0.68746,97.512
0.70604,52.905
0.72462,20.464
0.74320,6.794
0.76178,3.933
0.78036,1.000
0.79894,1.171
0.81752,4.063
0.83610,5.036
0.85468,3.556
0.87326,3.718
0.89184,6.000
0.91042,2.806
0.92900,0.921
0.94758,1.393
0.96616,2.635
0.98474,1.647
1.00332,0.000
1.02190,0.000
1.04048,0.000
1.05906,0.000
1.07764,0.079
1.09622,0.361
1.11480,1.714
1.13338,2.111
1.15196,1.603
1.17054,2.250
1.18912,3.254
1.20770,1.171
1.22628,0.000
1.24486,0.000
1.26344,0.000
1.28202,0.000
1.30060,1.333
1.31918,4.667
1.33776,7.143
1.35634,3.548
1.37492,0.651
1.39350,0.000
1.41208,0.000
1.43066,0.028
1.44924,0.714
1.46782,2.313
1.48640,3.492
1.50498,4.893
1.52356,6.349
1.54214,2.671
1.56072,9.095E-13
