Distance_(µm),Gray_Value
0.00000,0.0000
0.01858,0.0000
0.03716,0.0000
0.05574,0.0000
0.07432,0.0000
0.09290,0.0000
0.11148,0.0000
0.13006,0.0000
0.14864,0.0000
0.16722,0.0000
0.18580,0.0000
0.20438,0.0000
0.22296,0.0000
0.24154,0.0000
0.26012,0.0000
0.27870,0.0000
0.29728,0.0000
0.31586,0.0000
0.33444,0.0000
0.35302,0.0000
0.37160,0.0000
0.39018,0.7538
0.40876,2.7770
0.42734,6.2549
0.44592,7.7958
0.46450,3.7894
0.48308,2.2411
0.50166,12.3079
0.52024,33.6192
0.53882,51.4287
0.55740,56.8299
0.57598,44.3736
0.59456,53.5416
0.61314,74.9746
0.63172,86.3762
0.65030,86.7921
0.66888,70.9274
0.68746,50.4526
0.70604,31.7343
0.72462,15.3200
0.74320,7.2107
0.76178,3.0991
0.78036,2.4308
0.79894,3.0334
0.81752,3.6359
0.83610,1.9231
0.85468,0.1760
0.87326,0.0000
0.89184,0.0000
0.91042,0.5200
0.92900,0.7957
0.94758,0.1543
0.96616,0.0000
0.98474,0.0000
1.00332,0.0000
1.02190,0.0000
1.04048,0.0000
1.05906,0.0000
1.07764,0.0000
1.09622,0.0000
1.11480,0.0000
1.13338,0.0000
1.15196,0.0000
1.17054,0.0000
1.18912,0.0000
1.20770,0.1389
