frame,drift_[px],X1,Y1,X2,Y2,X3,Y3
366.000,0.000000,366.000,0.00000,1.000,0.12747,1.000,-0.35685
1124.000,-0.263208,1124.000,0.74920,20.995,0.12049,20.995,-0.33730
1919.500,-0.528131,1919.500,1.54497,40.990,0.11351,40.990,-0.31775
2740.000,-0.761255,2740.000,2.23423,60.985,0.10652,60.985,-0.29820
3579.000,-0.918741,3579.000,2.77051,80.980,0.09954,80.980,-0.27865
,,,,100.975,0.09256,100.975,-0.25910
,,,,120.970,0.08557,120.970,-0.23956
,,,,140.965,0.07859,140.965,-0.22001
,,,,160.960,0.07161,160.960,-0.20046
,,,,180.955,0.06462,180.955,-0.18091
,,,,200.950,0.05764,200.950,-0.16136
,,,,220.945,0.05066,220.945,-0.14181
,,,,240.940,0.04368,240.940,-0.12227
,,,,260.935,0.03669,260.935,-0.10272
,,,,280.930,0.02971,280.930,-0.08317
,,,,300.925,0.02273,300.925,-0.06362
,,,,320.920,0.01574,320.920,-0.04407
,,,,340.915,0.00876,340.915,-0.02452
,,,,360.910,0.00178,360.910,-0.00498
,,,,380.905,-0.00521,380.905,0.01457
,,,,400.900,-0.01219,400.900,0.03412
,,,,420.895,-0.01917,420.895,0.05367
,,,,440.890,-0.02615,440.890,0.07322
,,,,460.885,-0.03313,460.885,0.09278
,,,,480.880,-0.04012,480.880,0.11234
,,,,500.875,-0.04709,500.875,0.13191
,,,,520.870,-0.05407,520.870,0.15148
,,,,540.865,-0.06105,540.865,0.17106
,,,,560.860,-0.06803,560.860,0.19064
,,,,580.855,-0.07500,580.855,0.21024
,,,,600.850,-0.08197,600.850,0.22984
,,,,620.845,-0.08894,620.845,0.24946
,,,,640.840,-0.09591,640.840,0.26909
,,,,660.835,-0.10288,660.835,0.28873
,,,,680.830,-0.10984,680.830,0.30838
,,,,700.825,-0.11680,700.825,0.32805
,,,,720.820,-0.12376,720.820,0.34773
,,,,740.815,-0.13072,740.815,0.36742
,,,,760.810,-0.13767,760.810,0.38714
,,,,780.805,-0.14462,780.805,0.40687
,,,,800.800,-0.15156,800.800,0.42662
,,,,820.795,-0.15850,820.795,0.44639
,,,,840.790,-0.16544,840.790,0.46618
,,,,860.785,-0.17238,860.785,0.48599
,,,,880.780,-0.17931,880.780,0.50583
,,,,900.775,-0.18623,900.775,0.52568
,,,,920.770,-0.19315,920.770,0.54556
,,,,940.765,-0.20007,940.765,0.56547
,,,,960.760,-0.20698,960.760,0.58540
,,,,980.755,-0.21389,980.755,0.60536
,,,,1000.750,-0.22079,1000.750,0.62534
,,,,1020.745,-0.22769,1020.745,0.64536
,,,,1040.740,-0.23458,1040.740,0.66540
,,,,1060.735,-0.24146,1060.735,0.68547
,,,,1080.730,-0.24834,1080.730,0.70558
,,,,1100.725,-0.25521,1100.725,0.72572
,,,,1120.720,-0.26208,1120.720,0.74589
,,,,1140.715,-0.26894,1140.715,0.76609
,,,,1160.710,-0.27580,1160.710,0.78632
,,,,1180.705,-0.28265,1180.705,0.80658
,,,,1200.700,-0.28949,1200.700,0.82687
,,,,1220.695,-0.29632,1220.695,0.84718
,,,,1240.690,-0.30314,1240.690,0.86751
,,,,1260.685,-0.30996,1260.685,0.88785
,,,,1280.680,-0.31677,1280.680,0.90820
,,,,1300.675,-0.32357,1300.675,0.92856
,,,,1320.670,-0.33036,1320.670,0.94893
,,,,1340.665,-0.33714,1340.665,0.96929
,,,,1360.660,-0.34392,1360.660,0.98966
,,,,1380.655,-0.35068,1380.655,1.01002
,,,,1400.650,-0.35743,1400.650,1.03037
,,,,1420.645,-0.36417,1420.645,1.05071
,,,,1440.640,-0.37090,1440.640,1.07104
,,,,1460.635,-0.37762,1460.635,1.09135
,,,,1480.630,-0.38433,1480.630,1.11164
