Distance_(m),Gray_Value
0.000000,0.0000
0.018580,0.0000
0.037160,0.0000
0.055740,0.0000
0.074320,0.0000
0.092900,0.0000
0.111480,0.0000
0.130060,0.0000
0.148640,0.2647
0.167220,1.9267
0.185800,5.2171
0.204380,8.4795
0.222960,13.1886
0.241540,22.6786
0.260120,24.9265
0.278700,23.6176
0.297280,21.9740
0.315860,20.5000
0.334440,23.9740
0.353020,27.9985
0.371600,24.7016
0.390180,18.1205
0.408760,9.1293
0.427340,3.5843
0.445920,1.8971
0.464500,0.9120
0.483080,1.3274
0.501660,3.1525
0.520240,1.9135
0.538820,0.4077
0.557400,0.3906
0.575980,1.0441
0.594560,2.2898
0.613140,5.1131
0.631720,5.2500
